#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 07 02 12 999  1.9 99.0 99.00 99.00 99.00 999 1016.2   2.9 999.0 999.0 99.0 99.00
2017 01 07 02 21 999  2.2 99.0 99.00 99.00 99.00 999 1016.2   3.0 999.0 999.0 99.0 99.00
2017 01 07 02 39 999  2.4 99.0 99.00 99.00 99.00 999 1016.3   2.9 999.0 999.0 99.0 99.00
2017 01 07 02 47 999  2.8 99.0 99.00 99.00 99.00 999 1016.4   2.4 999.0 999.0 99.0 99.00
2017 01 07 02 56 999  2.4 99.0 99.00 99.00 99.00 999 1016.4   2.2 999.0 999.0 99.0 99.00
2017 01 07 03 05 999  3.4 99.0 99.00 99.00 99.00 999 1016.4   2.2 999.0 999.0 99.0 99.00
2017 01 07 03 14 999  3.2 99.0 99.00 99.00 99.00 999 1016.5   2.1 999.0 999.0 99.0 99.00
2017 01 07 03 23 999  4.1 99.0 99.00 99.00 99.00 999 1016.6   2.1 999.0 999.0 99.0 99.00
2017 01 07 03 32 999  4.0 99.0 99.00 99.00 99.00 999 1016.6   2.1 999.0 999.0 99.0 99.00
2017 01 07 03 41 999  5.0 99.0 99.00 99.00 99.00 999 1016.5   2.0 999.0 999.0 99.0 99.00
2017 01 07 03 58 999  3.9 99.0 99.00 99.00 99.00 999 1016.5   2.1 999.0 999.0 99.0 99.00
2017 01 07 04 07 999  4.6 99.0 99.00 99.00 99.00 999 1016.5   2.1 999.0 999.0 99.0 99.00
2017 01 07 04 16 999  4.7 99.0 99.00 99.00 99.00 999 1016.5   2.1 999.0 999.0 99.0 99.00
2017 01 07 06 38 999  2.1 99.0 99.00 99.00 99.00 999 1016.1   1.7 999.0 999.0 99.0 99.00
2017 01 07 06 47 999  1.5 99.0 99.00 99.00 99.00 999 1016.0   1.6 999.0 999.0 99.0 99.00
2017 01 07 06 56 999  1.6 99.0 99.00 99.00 99.00 999 1015.9   1.7 999.0 999.0 99.0 99.00
2017 01 07 07 05 999  1.4 99.0 99.00 99.00 99.00 999 1016.0   1.4 999.0 999.0 99.0 99.00
